num_obra	cod_material	descricao	und_medida	qtdprevista	qtdrealizada	val_material	val_requisitado	nome
0612600464	90489	CONECTOR ATERR CUNHA TRANSV COBRE CB/HST 25-35MM2 14,3MM	UN	8	8	13,96	111,68	DARCINÓPOLIS
0612600464	90498	ELO FUSIVEL DISTRIBUICAO TIPO H 1A 500MM	UN	1	1	6,07	6,07	DARCINÓPOLIS
0612600464	90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	1	1	11,26	11,26	DARCINÓPOLIS
0612600464	90797	CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM	UN	3	3	6,775	20,325	DARCINÓPOLIS
0612600464	90837	MASSA PARA CALAFETAR NA COR CINZA	KG	1	1	8,51	8,51	DARCINÓPOLIS
0612600464	91217	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 PRT	M	4	4	7,08	28,32	DARCINÓPOLIS
0612600464	91638	TRANSF DISTR AER OVI 1F 19,919KV 440/220V 15KVA CL2 5TP	UN	1	1	5819,26	5819,26	DARCINÓPOLIS
0612600464	92325	ELETRODUTO RIGIDO INFRA PVC 3000MM DN20 PRT	UN	2	2	10,73	21,46	DARCINÓPOLIS
0612600474	185	CON PERF 1,5-10-10X70MM	PC	3	3	7,33	21,99	ARAGUAÍNA
0612600474	90088	TRANSF DISTR AER OMI 3F 34,5KV 380/220V 45KVA CL2 4TP	UN	1	1	14080,6	14080,6	ARAGUAÍNA
0612600474	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	3	3	16,49	49,47	ARAGUAÍNA
0612600474	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	3	3	182,19	546,57	ARAGUAÍNA
0612600474	90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	6	6	5,97	35,82	ARAGUAÍNA
0612600474	90342	CONECT TERM ESTRANG CB/BAR ALUM 2F 123X25MM 11.20-12.30MM	UN	4	4	59,585	238,34	ARAGUAÍNA
0612600474	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	6	6	4,89	29,34	ARAGUAÍNA
0612600474	91217	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 PRT	M	6	6	7,08	42,48	ARAGUAÍNA
0612600476	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	2	2	16,49	32,98	ARAGOMINAS
0612600476	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	1	1	182,19	182,19	ARAGOMINAS
0612600476	90257	CABO ACO COBREADO 1F LCA IACS53% 7X2,06MM 25MM2	KG	4,5	4,5	82,62	371,79	ARAGOMINAS
